file	number Of Sets	Number Of Zones	Number Of Nodes
100318079	4	6	50
10146102	1	1	12
101859065	4	4	20
101903164	2	2	6
102765423	3	3	13
102903198	1	1	39
103431502	2	2	14
103865085	2	2	26
103991905	2	2	23
104324908	2	2	6
104615636	3	5	36
1046661	7	7	12
104991493	5	5	95
105150583	5	12	84
105398724	2	2	18
105918870	7	17	184
107172099	2	2	12
107418464	2	2	14
107511013	1	0	0
107516840	5	5	28
10798802	4	7	39
108159877	2	2	19
108205076	3	3	7
10985532	10	12	129
11027262	3	5	117
110536616	2	3	35
110755733	1	1	1
111045742	2	2	26
11136132	1	0	0
111374622	3	6	71
112628165	2	2	4
113196940	5	8	104
11348282	8	9	79
11348722	3	3	14
113509970	6	14	79
114115460	4	8	81
114885421	14	20	96
115911638	5	5	27
116388817	2	3	19
116798290	1	1	3
116808228	2	2	6
11681802	3	3	28
117029850	2	3	16
117671022	2	2	27
117809922	2	3	20
11784842	2	2	21
11828432	3	4	18
11928542	2	3	10
119897041	2	2	18
120157205	1	1	4
120459837	2	2	57
120679977	2	2	5
12069912	3	4	29
120971873	1	1	1
121202578	4	5	37
121258930	2	2	7
12152402	3	3	10
121569946	3	3	7
121685268	2	2	17
122216533	1	0	0
123287376	3	3	28
123684709	3	5	50
1239671	2	3	51
12415722	2	3	29
124296976	7	8	32
124474025	2	3	25
125098615	5	5	27
12570812	3	3	79
126067398	2	3	6
1271901	1	0	0
12771872	6	7	79
127912925	4	4	59
128135741	3	3	22
12831	1	1	1
129093262	1	1	22
130734452	6	6	9
13179562	2	2	19
13212502	2	3	14
132519763	6	7	74
13274152	8	12	91
13275962	9	17	104
13317162	3	6	29
133663120	2	2	39
134208594	12	14	71
13460312	1	1	7
135397331	4	4	10
135605269	8	10	62
135704499	4	7	26
135895585	2	2	34
136341512	2	1	2
13649212	2	1	12
1367531	4	5	77
137046366	2	3	53
13747362	7	5	33
137527381	2	2	33
13809612	4	5	78
13811562	5	5	15
13837812	2	2	51
13872872	1	1	2
14045302	2	2	56
14058831	3	3	21
14060856	8	12	105
14077024	4	4	53
14120151	2	2	110
14120253	4	4	45
14129601	11	17	74
141341662	5	6	30
14134942	2	2	17
14147754	2	2	26
141488457	3	3	10
14150874	2	2	28
14191254	3	5	29
14199378	10	28	183
14203895	2	2	69
1422311	1	1	6
14256927	2	2	10
14313005	3	4	61
143172151	2	3	17
14327149	1	1	5
14332288	2	2	46
143344048	1	1	5
14353392	2	2	3
1435461	2	1	2
14365883	2	3	25
143661263	2	3	58
14371740	3	3	21
14372486	6	9	46
14372763	2	2	47
14404235	2	2	11
144211337	2	3	30
14422788	3	4	29
14426892	4	4	170
14505838	2	1	46
14521330	1	1	2
14528221	5	11	59
14550962	2	2	6
14555534	4	4	17
145573135	3	4	43
14618160	3	3	14
14630490	1	1	6
14677919	3	4	55
14711172	1	0	0
14719129	4	4	20
14755105	2	3	34
14791232	4	5	50
14794851	2	2	18
14807093	1	1	13
14827526	1	1	1
14836915	6	8	107
14838506	3	3	35
14840869	5	5	20
14843763	2	3	21
14848513	4	4	9
14849487	1	0	0
148519842	1	1	7
14869783	3	4	20
14893314	2	2	17
14917050	2	2	28
14922225	6	6	51
14936377	3	4	31
14957252	5	10	54
14984096	9	16	70
15001424	2	2	14
15012486	12	16	61
150402542	1	1	11
15053535	3	3	5
15070932	2	3	27
15099384	3	3	42
151175266	3	7	77
151246522	2	2	12
15129912	3	7	66
151495845	3	3	139
15164892	2	2	29
152062126	3	4	27
15208246	3	4	18
152388029	3	4	55
152435436	5	6	91
15292446	3	6	26
153245741	3	4	21
15329577	2	2	25
15331855	2	2	25
15335809	5	9	87
15347317	4	5	44
15419775	3	3	93
15420650	2	2	14
15445811	1	0	0
154648125	2	2	13
154701532	2	3	72
15473958	3	3	21
15477120	3	4	17
15481789	4	4	43
1548841	4	8	91
15507297	2	2	16
15527013	2	2	29
15533771	3	3	7
155689319	1	1	10
15589323	2	2	15
155976326	4	4	88
15642031	2	2	4
15647676	3	7	69
15665127	1	1	2
15706128	3	3	72
15741636	3	4	18
157488488	1	1	1
15797184	4	5	11
158414847	3	3	31
158419434	1	1	6
15849055	3	4	140
15859268	2	2	9
15864197	5	9	45
158874150	2	2	8
15924858	1	0	0
15938936	2	2	13
15944663	4	4	31
15947217	3	3	25
159588456	5	5	49
159629146	3	5	127
15977848	2	2	7
15989218	2	2	13
160237722	14	3	68
16027078	3	3	28
160839015	6	8	49
1608991	12	17	79
16105942	3	4	24
16183380	12	19	57
16193542	1	1	1
16212913	2	3	48
16234125	2	3	47
16247469	2	2	13
16263665	1	1	7
16279105	4	4	19
16285517	2	3	33
16297193	3	3	10
16305227	3	4	15
163374693	2	2	31
163491360	3	3	18
163629705	10	15	126
163674521	5	9	164
16421962	13	13	30
16437633	1	0	0
16465113	1	0	0
16476088	2	2	18
16505296	2	2	4
165580617	2	3	11
165786567	4	4	43
16591188	3	4	73
16606585	2	2	104
16610683	3	4	18
16613128	1	0	0
16616109	1	1	20
166252256	2	3	12
16652550	5	11	88
16674149	2	2	2
16685316	2	2	18
16726878	1	1	2
16734718	3	6	33
16790036	4	4	18
167901620	1	1	7
16824073	1	0	0
16834201	7	11	60
16840742	1	0	0
168537920	3	3	28
16869298	2	3	10
16878507	3	4	22
169216507	3	6	50
169780164	4	6	43
16987303	3	4	138
170167167	2	2	8
17022544	2	3	35
17045060	4	5	131
170729553	6	9	32
17111909	2	3	70
171202083	2	3	43
17135931	2	3	9
17137927	3	3	14
17384099	1	1	5
17396702	2	3	136
17403755	4	4	68
17421011	2	2	4
174285878	13	32	133
17503591	4	7	162
175529494	1	1	12
17561785	5	11	54
17600223	3	4	68
17602896	2	2	10
17627996	3	3	4
176310143	8	21	188
17636894	6	7	19
17658786	6	8	95
176589903	2	3	30
176872879	3	3	33
176936249	1	1	3
17714569	6	9	85
17723880	3	3	81
1775731	3	3	10
17767841	7	8	64
17770689	9	12	95
17787399	2	2	37
17797990	1	1	95
17822419	1	1	1
17866414	2	3	29
17874544	2	2	10
179065820	3	4	55
17912917	2	2	9
17918629	3	3	46
17922109	3	3	41
18068719	2	2	57
18069824	2	2	23
18119683	3	4	29
18135029	1	1	6
18191231	2	2	13
18201401	2	2	5
18226205	3	4	75
18252740	5	8	134
182609394	2	2	10
18270489	13	33	162
18278524	2	3	14
18338485	1	1	10
18374320	2	2	7
183786731	2	3	26
184391654	2	3	7
184594566	3	7	87
18470775	4	5	31
18472735	6	9	147
184755890	2	2	14
18481292	1	1	14
18483115	2	2	6
18486243	4	4	51
18486881	6	10	69
18496986	3	3	28
18534908	5	12	155
185512077	2	3	68
18558612	1	1	15
18571832	2	2	16
18594420	5	5	83
18630326	6	13	121
186354564	5	6	65
18665800	6	11	72
18681592	1	1	3
18687625	5	10	32
18690700	2	2	35
18718580	2	2	7
18731347	1	1	39
18734310	6	6	86
187744415	8	23	126
187773078	12	6	107
