file	Number Of Intersections	Number Of Zones
100318079	0	0
100318079	1	4
100318079	2	2
10146102	0	0
10146102	1	1
101859065	0	0
101859065	1	3
101859065	2	1
101903164	0	0
101903164	1	2
102765423	0	0
102765423	1	2
102765423	2	1
102903198	0	0
102903198	1	1
103431502	0	0
103431502	1	2
103865085	0	0
103865085	1	1
103865085	2	1
103991905	0	0
103991905	1	2
104324908	0	0
104324908	1	1
104324908	2	1
104615636	0	0
104615636	1	3
104615636	2	2
1046661	0	0
1046661	1	7
104991493	0	0
104991493	1	5
105150583	0	0
105150583	1	5
105150583	2	5
105150583	3	2
105398724	0	0
105398724	1	2
105918870	0	0
105918870	1	6
105918870	2	9
105918870	3	2
107172099	0	0
107172099	1	2
107418464	0	0
107418464	1	2
107511013	0	0
107516840	0	0
107516840	1	1
107516840	2	3
107516840	3	1
10798802	0	0
10798802	1	3
10798802	2	3
10798802	3	1
108159877	0	0
108159877	1	2
108205076	0	0
108205076	1	2
108205076	2	1
10985532	0	0
10985532	1	10
10985532	2	2
11027262	0	0
11027262	1	2
11027262	2	2
11027262	3	1
110536616	0	0
110536616	1	2
110536616	2	1
110755733	0	0
110755733	1	1
111045742	0	0
111045742	1	2
11136132	0	0
111374622	0	0
111374622	1	3
111374622	2	2
111374622	3	1
112628165	0	0
112628165	1	2
113196940	0	0
113196940	1	5
113196940	2	3
11348282	0	0
11348282	1	7
11348282	2	2
11348722	0	0
11348722	1	3
113509970	0	0
113509970	1	2
113509970	2	4
113509970	3	4
113509970	4	3
113509970	5	1
114115460	0	0
114115460	1	4
114115460	2	3
114115460	3	1
114885421	0	0
114885421	1	12
114885421	2	7
114885421	3	1
115911638	0	0
115911638	1	5
116388817	0	0
116388817	1	2
116388817	2	1
116798290	0	0
116798290	1	1
116808228	0	0
116808228	1	2
11681802	0	0
11681802	1	3
117029850	0	0
117029850	1	2
117029850	2	1
117671022	0	0
117671022	1	2
117809922	0	0
117809922	1	2
117809922	2	1
11784842	0	0
11784842	1	2
11828432	0	0
11828432	1	3
11828432	2	1
11928542	0	0
11928542	1	2
11928542	2	1
119897041	0	0
119897041	1	2
120157205	0	0
120157205	1	1
120459837	0	0
120459837	1	2
120679977	0	0
120679977	1	2
12069912	0	0
12069912	1	3
12069912	2	1
120971873	0	0
120971873	1	1
121202578	0	0
121202578	1	4
121202578	2	1
121258930	0	0
121258930	1	1
121258930	2	1
12152402	0	0
12152402	1	3
121569946	0	0
121569946	1	3
121685268	0	0
121685268	1	2
122216533	0	0
123287376	0	0
123287376	1	3
123684709	0	0
123684709	1	2
123684709	2	2
123684709	3	1
1239671	0	0
1239671	1	2
1239671	2	1
12415722	0	0
12415722	1	2
12415722	2	1
124296976	0	0
124296976	1	6
124296976	2	2
124474025	0	0
124474025	1	2
124474025	2	1
125098615	0	0
125098615	1	5
12570812	0	0
12570812	1	3
126067398	0	0
126067398	1	2
126067398	2	1
1271901	0	0
12771872	0	0
